,t,open,high,low,close
15156,2024-08-08 18:15:00-04:00,1.09161,1.09173,1.09133,1.0916
15157,2024-08-08 18:30:00-04:00,1.0916,1.09163,1.09145,1.09162
15158,2024-08-08 18:45:00-04:00,1.09163,1.0917,1.09144,1.09168
15159,2024-08-08 19:00:00-04:00,1.09168,1.09177,1.09153,1.09175
15160,2024-08-08 19:15:00-04:00,1.09175,1.09178,1.09164,1.09168
15161,2024-08-08 19:30:00-04:00,1.09168,1.09185,1.09166,1.09172
15162,2024-08-08 19:45:00-04:00,1.09172,1.09189,1.09168,1.09184
15163,2024-08-08 20:00:00-04:00,1.09185,1.09194,1.09164,1.09178
15164,2024-08-08 20:15:00-04:00,1.09178,1.0918,1.09154,1.09154
15165,2024-08-08 20:30:00-04:00,1.09154,1.09172,1.09151,1.09165
15166,2024-08-08 20:45:00-04:00,1.09165,1.09178,1.09144,1.0915
15167,2024-08-08 21:00:00-04:00,1.09145,1.0916,1.09135,1.09146
15168,2024-08-08 21:15:00-04:00,1.09147,1.09155,1.09129,1.09129
15169,2024-08-08 21:30:00-04:00,1.09127,1.09141,1.09121,1.09129
15170,2024-08-08 21:45:00-04:00,1.09129,1.09144,1.09115,1.09126
15171,2024-08-08 22:00:00-04:00,1.0913,1.09156,1.09119,1.09129
15172,2024-08-08 22:15:00-04:00,1.09129,1.09175,1.09127,1.09174
15173,2024-08-08 22:30:00-04:00,1.09174,1.0919,1.09166,1.0917
15174,2024-08-08 22:45:00-04:00,1.09169,1.09188,1.0916,1.09179
15175,2024-08-08 23:00:00-04:00,1.09179,1.09189,1.09157,1.0917
15176,2024-08-08 23:15:00-04:00,1.09171,1.09218,1.09165,1.09217
15177,2024-08-08 23:30:00-04:00,1.09218,1.09238,1.09207,1.09229
15178,2024-08-08 23:45:00-04:00,1.09229,1.09245,1.09204,1.09213
15179,2024-08-09 00:00:00-04:00,1.09211,1.0923,1.09204,1.0923
15180,2024-08-09 00:15:00-04:00,1.09229,1.09235,1.09215,1.09226
15181,2024-08-09 00:30:00-04:00,1.09228,1.09241,1.09227,1.09234
15182,2024-08-09 00:45:00-04:00,1.09236,1.09236,1.09209,1.09228
15183,2024-08-09 01:00:00-04:00,1.09228,1.0924,1.0922,1.09221
15184,2024-08-09 01:15:00-04:00,1.09222,1.0923,1.09205,1.09207
15185,2024-08-09 01:30:00-04:00,1.09207,1.09224,1.09205,1.09219
15186,2024-08-09 01:45:00-04:00,1.09219,1.09219,1.09196,1.09202
15187,2024-08-09 02:00:00-04:00,1.09202,1.09215,1.09188,1.09205
15188,2024-08-09 02:15:00-04:00,1.09204,1.0921,1.0918,1.09198
15189,2024-08-09 02:30:00-04:00,1.09198,1.09205,1.09184,1.09192
15190,2024-08-09 02:45:00-04:00,1.09193,1.09214,1.0919,1.09195
15191,2024-08-09 03:00:00-04:00,1.09193,1.09243,1.09174,1.0922
15192,2024-08-09 03:15:00-04:00,1.0922,1.09253,1.09217,1.0925
15193,2024-08-09 03:30:00-04:00,1.0925,1.09275,1.09242,1.09261
15194,2024-08-09 03:45:00-04:00,1.09261,1.0928,1.09249,1.09274
15195,2024-08-09 04:00:00-04:00,1.09274,1.09291,1.09254,1.09265
15196,2024-08-09 04:15:00-04:00,1.09265,1.09278,1.09249,1.09263
15197,2024-08-09 04:30:00-04:00,1.09263,1.09271,1.09229,1.09232
15198,2024-08-09 04:45:00-04:00,1.0923,1.09247,1.09202,1.09219
15199,2024-08-09 05:00:00-04:00,1.09218,1.09223,1.09157,1.09175
15200,2024-08-09 05:15:00-04:00,1.09175,1.09199,1.09157,1.09193
15201,2024-08-09 05:30:00-04:00,1.09195,1.09225,1.09156,1.09169
15202,2024-08-09 05:45:00-04:00,1.09169,1.09175,1.09131,1.09175
15203,2024-08-09 06:00:00-04:00,1.09174,1.09228,1.09173,1.09213
